,gtin_cd,gtin_nm
209,0073410312063,Stuffing Sage & Onion
210,0087684001035,Grape Juice
211,0087684001059,Orange Juice
212,0087684001325,Citrus Juice
213,0836093001040,Juice Grapefruit
214,0836093001088,Juice Pomegranate
215,0836093002047,Juice Grapefruit
216,0836093011025,Juice Blackberry
217,0836093012046,Juice Grapefruit
218,0836093012077,Juice Apple
219,0836093013043,Juice Grapefruit
220,0836093015023,Juice Blackberry
221,0836093515080,Juice Birch
222,0836093516056,Juice Lime
223,0857063002003,Chicken Tikka Masala
224,0857063002270,Chana Saag
225,0857063002423,Wasabi Crunchy Chickpeas
226,0857063002461,Falafel Crunchy Chickpeas
227,0857063002515,Traditional Chicken Broth
228,0857063002522,Classic Vegetable Broth
229,0857063002614,Rogan Josh
230,0857063002645,Korean Stir Fry
